batter,runs,balls,strike_rate,bowler,wickets,fantasy_score
TM Srivastava,8.0,11.0,72.72727272727273,,0.0,11.54909090909091
HF Gurney,1.0,5.0,20.0,HF Gurney,7.0,11.48
R Ninan,3.0,6.0,50.0,R Ninan,3.0,11.34
CK Kapugedera,16.0,24.0,66.66666666666666,CK Kapugedera,0.0,11.279999999999998
GHS Garton,2.0,4.0,50.0,GHS Garton,3.0,11.26
T Shamsi,2.0,4.0,50.0,T Shamsi,3.0,11.26
NS Naik,31.0,53.0,58.490566037735846,,0.0,11.253584905660377
KS Sharma,16.0,25.0,64.0,,0.0,10.879999999999999
JE Root,10.0,15.0,66.66666666666666,JE Root,0.0,10.799999999999999
,0.0,0.0,0.0,JA Duffy,9.0,10.799999999999999
,0.0,0.0,0.0,N Thushara,9.0,10.799999999999999
,0.0,0.0,0.0,Yash Raj Punja,9.0,10.799999999999999
,0.0,0.0,0.0,M Siddharth,9.0,10.799999999999999
DR Shorey,13.0,20.0,65.0,,0.0,10.79
Ashok Sharma,1.0,5.0,20.0,Ashok Sharma,6.0,10.28
Shivam Singh,2.0,3.0,66.66666666666666,,0.0,10.159999999999998
MJ Suthar,1.0,2.0,50.0,MJ Suthar,2.0,9.98
KA Maharaj,1.0,2.0,50.0,KA Maharaj,2.0,9.98
R Minz,12.0,20.0,60.0,,0.0,9.96
Shoaib Akhtar,2.0,8.0,25.0,Shoaib Akhtar,5.0,9.91
LE Plunkett,1.0,3.0,33.33333333333333,LE Plunkett,4.0,9.879999999999999
DJ Muthuswami,1.0,3.0,33.33333333333333,DJ Muthuswami,4.0,9.879999999999999
Virat Singh,15.0,26.0,57.692307692307686,,0.0,9.853846153846153
CJ McKay,8.0,15.0,53.333333333333336,CJ McKay,1.0,9.84
X Thalaivan Sargunam,10.0,17.0,58.82352941176471,,0.0,9.623529411764707
,0.0,0.0,0.0,S Sandeep Warrier,8.0,9.6
,0.0,0.0,0.0,Zeeshan Ansari,8.0,9.6
T Kohli,11.0,20.0,55.00000000000001,,0.0,9.13
LB Williams,1.0,2.0,50.0,LB Williams,1.0,8.78
PM Sarvesh Kumar,1.0,2.0,50.0,PM Sarvesh Kumar,1.0,8.78
Shoaib Ahmed,1.0,6.0,16.666666666666664,Shoaib Ahmed,5.0,8.58
KM Asif,0.0,2.0,0.0,KM Asif,7.0,8.4
,0.0,0.0,0.0,AM Salvi,7.0,8.4
,0.0,0.0,0.0,P Amarnath,7.0,8.4
D Kalyankrishna,3.0,8.0,37.5,D Kalyankrishna,2.0,8.265
PSP Handscomb,6.0,12.0,50.0,,0.0,7.98
Krish Bhagat,10.0,21.0,47.61904761904761,Krish Bhagat,0.0,7.942857142857141
A Tomar,4.0,8.0,50.0,,0.0,7.82
Mohit Rathee,1.0,2.0,50.0,Mohit Rathee,0.0,7.58
UA Birla,7.0,15.0,46.666666666666664,,0.0,7.559999999999999
SS Mishra,1.0,3.0,33.33333333333333,SS Mishra,2.0,7.479999999999999
SB Joshi,6.0,16.0,37.5,SB Joshi,1.0,7.305000000000001
,0.0,0.0,0.0,W O'Rourke,6.0,7.199999999999999
S Kaushik,0.0,1.0,0.0,S Kaushik,6.0,7.199999999999999
,0.0,0.0,0.0,K Khejroliya,6.0,7.199999999999999
,0.0,0.0,0.0,V Puthur,6.0,7.199999999999999
SS Cottrell,0.0,2.0,0.0,SS Cottrell,6.0,7.199999999999999
Younis Khan,3.0,7.0,42.857142857142854,,0.0,6.668571428571428
RK Bhui,10.0,27.0,37.03703703703704,,0.0,6.355555555555555
BR Sharath,2.0,5.0,40.0,,0.0,6.16
H Das,2.0,5.0,40.0,,0.0,6.16
DV Malewar,2.0,5.0,40.0,,0.0,6.16
,0.0,0.0,0.0,O Thomas,5.0,6.0
L Ablish,0.0,2.0,0.0,L Ablish,5.0,6.0
,0.0,0.0,0.0,B Muzarabani,5.0,6.0
S Ladda,0.0,10.0,0.0,S Ladda,5.0,6.0
TD Paine,10.0,29.0,34.48275862068966,,0.0,5.972413793103448
,0.0,0.0,0.0,Gurjapneet Singh,4.0,4.8
RS Gavaskar,2.0,8.0,25.0,RS Gavaskar,0.0,3.91
MS Bhandage,1.0,4.0,25.0,,0.0,3.83
,0.0,0.0,0.0,SM Boland,3.0,3.5999999999999996
,0.0,0.0,0.0,JW Hastings,3.0,3.5999999999999996
,0.0,0.0,0.0,K Santokie,3.0,3.5999999999999996
,0.0,0.0,0.0,Gagandeep Singh,3.0,3.5999999999999996
,0.0,0.0,0.0,RS Hangargekar,3.0,3.5999999999999996
,0.0,0.0,0.0,Abhinandan Singh,3.0,3.5999999999999996
Mohammad Ashraful,2.0,12.0,16.666666666666664,,0.0,2.6599999999999997
C Nanda,0.0,1.0,0.0,C Nanda,2.0,2.4
,0.0,0.0,0.0,V Kaverappa,2.0,2.4
,0.0,0.0,0.0,BJ Dwarshuis,2.0,2.4
,0.0,0.0,0.0,PH Solanki,2.0,2.4
,0.0,0.0,0.0,P Suyal,2.0,2.4
K Yadav,0.0,4.0,0.0,K Yadav,2.0,2.4
,0.0,0.0,0.0,SC Kuggeleijn,2.0,2.4
Mayank Dagar,0.0,1.0,0.0,Mayank Dagar,2.0,2.4
,0.0,0.0,0.0,B Geeves,2.0,2.4
ND Doshi,0.0,13.0,0.0,ND Doshi,2.0,2.4
,0.0,0.0,0.0,IC Porel,1.0,1.2
,0.0,0.0,0.0,GS Sandhu,1.0,1.2
,0.0,0.0,0.0,A Nel,1.0,1.2
,0.0,0.0,0.0,LI Meriwala,1.0,1.2
Y Prithvi Raj,0.0,1.0,0.0,Y Prithvi Raj,1.0,1.2
,0.0,0.0,0.0,SSB Magala,1.0,1.2
,0.0,0.0,0.0,D Madushanka,1.0,1.2
Musheer Khan,0.0,3.0,0.0,Musheer Khan,1.0,1.2
,0.0,0.0,0.0,SS Sarkar,1.0,1.2
